path,size_bytes,pages,text_pages,image_pages,total_text_chars,total_images,needs_password,open_error,likely_scanned_image_only,why
D:\code\Github\SLAC-test\SLAC\data\en\GMRT2111-Iss-3.pdf,752121,32,32,2,59718,2,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\GMRT2142-Iss-41.pdf,1068663,29,29,5,57647,22,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\GOGN3616-Iss-1-1.pdf,4843916,38,38,2,66733,3,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\OJ%3AL_202600253%3AEN%3ATXT.pdf,2194039,85,85,1,288493,1,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\RIS-1800-ENE-Iss-1.pdf,306230,12,12,1,23886,1,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\RIS-3413-TOM-Iss-2.pdf,667446,11,11,0,20317,0,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\RIS-3782-TOM-Iss-1.pdf,873832,34,34,2,61016,11,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\RIS-7704-INS-Iss-1.pdf,1403330,74,74,11,125311,14,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\TGIR_EXPLANATION_20200801.pdf,365778,8,8,4,23823,4,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\TN2301-Iss-1.pdf,985095,23,23,23,53980,28,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\13281-2008-gbt-e-300.pdf,923145,14,14,14,10886,32,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\20908-2007-gbt-e-300.pdf,492551,9,9,9,7471,17,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\23430-2009-gbt-e-300.pdf,709218,13,13,13,12055,25,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\25772-2010-gbt-e-300.pdf,467864,10,10,10,6636,28,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\30012-2013-gbt-cd-300.pdf,679334,24,24,24,28936,48,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\30013-2013-gbt-e-300.pdf,503364,14,14,14,11179,29,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\7928-2003-gbt-e-300.pdf,1543014,16,16,16,15676,32,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GB 50157-2013 地铁设计规范.pdf,8232703,321,321,21,513665,44,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GB+10493-2018.pdf,607079,11,11,11,7293,21,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GB+146.1-2020.pdf,705526,7,7,7,3893,18,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GB+4387-2008.pdf,1318156,35,35,35,26465,87,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+12758-2023.pdf,2182292,27,27,27,31524,53,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+12817-2021.pdf,1051357,13,13,13,12009,25,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+13317-2024.pdf,834304,55,50,55,61905,109,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+15566.3-2020.pdf,978833,12,12,12,9816,62,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+16566-2018.pdf,2184220,37,37,37,43538,73,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+22486-2022.pdf,1250290,15,15,15,15971,29,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+25334.1-2023.pdf,636747,9,9,9,6338,17,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+25334.2-2023.pdf,589642,8,8,8,6002,15,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+25338.1-2019.pdf,891392,12,12,12,8916,23,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+25341.1-2019.pdf,615675,10,10,10,6121,19,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+25341.3-2024.pdf,547505,27,22,27,15492,53,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+28426-2021.pdf,1143253,14,14,14,8931,30,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+32383-2020.pdf,1521330,17,17,17,16792,34,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+36505-2018.pdf,1126800,24,24,24,24229,47,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+36543-2018.pdf,1166652,26,26,26,24861,51,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+37439-2019.pdf,2331966,35,35,35,23039,75,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+37532-2019.pdf,2040130,23,23,23,23949,46,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38374-2019.pdf,2980313,56,56,56,39958,111,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38604.2-2020.pdf,852576,12,12,12,8488,23,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38695-2020.pdf,5203250,77,77,77,54723,163,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38707-2020.pdf,2732496,25,25,25,31766,49,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38709-2020.pdf,15752448,37,23,37,14481,94,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+44554.6-2026.pdf,39671416,27,25,27,14162,73,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+5068-2019.pdf,1153907,16,16,16,11750,38,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+7928-2025.pdf,580090,23,20,23,21470,45,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\TB10082-2017 铁路轨道设计规范2017.pdf,4057933,170,168,62,103303,102,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\TB10621-2014 高速铁路设计规范（条纹说明）.pdf,7267177,404,403,106,293946,177,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\TB10623-2014 城际铁路设计规范（条文说明）.pdf,5576629,290,290,63,225350,109,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\Ⅲ、Ⅳ级铁路设计规范.pdf,35013888,333,0,333,0,333,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\上海市轨道交通管理条例_20210825.pdf,308062,18,18,0,8844,0,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\中华人民共和国铁路法_20150424.pdf,331067,16,16,0,7530,0,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\交办运[2019]17号《城市轨道交通初期运营前安 (1).pdf,1090956,48,48,9,27955,15,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\公路与铁路两用桥梁通用技术要求.pdf,13306975,17,0,17,0,17,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\北京市轨道交通运营安全条例_.pdf,373343,27,27,0,12144,0,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\地下铁道工程施工质量验收标准.pdf,25269334,588,0,588,0,588,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\地铁快线设计标准(附条文说明).pdf,6547101,164,0,164,0,164,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\地铁设计规范.pdf,17084229,321,0,321,0,642,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\地铁限界标准(附条文说明).pdf,15868310,133,0,132,0,132,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通工程基本术语标准.pdf,2542616,100,0,100,0,100,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通技术规范.pdf,1830646,79,79,79,46299,79,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通直线电机牵引系统设计规范(附条文说明).pdf,13877947,400,0,400,0,400,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通设施设备分类与代码.pdf,17265144,156,0,156,0,156,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通试运营基本条件.pdf,954110,14,14,14,10463,14,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\城市轨道交通运营管理规范.pdf,43232249,26,0,26,0,26,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\城际铁路站台门系统.pdf,12310806,24,0,24,0,24,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\城际铁路设计规范(附条文说明).pdf,24619659,510,0,510,0,510,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\市域快速轨道交通设计标准.pdf,33633979,84,84,84,46242,84,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\改建铁路工程测量规范(附条文说明).pdf,3118163,97,0,97,0,97,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\标准轨距铁路道岔.pdf,2291761,28,0,28,0,28,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\浮置板轨道技术规范.pdf,1168791,66,60,11,36470,15,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\磁浮铁路技术标准(试行)(附条文说明).pdf,7496475,172,0,172,0,172,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\绿色铁路客站评价标准(附条文说明).pdf,38595108,139,0,139,0,139,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\苏州市轨道交通条例_20221012.pdf,380483,24,24,0,11795,0,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\重庆市轨道交通条例_20250326.pdf,367697,23,23,0,11260,0,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\重载铁路设计规范(附条文说明).pdf,55225025,283,0,283,0,283,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路专用线设计规范(试行)(附条文说明).pdf,83802998,135,0,135,0,135,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路交通事故应急救援和调查处理条例_20121109.pdf,334063,12,12,0,5138,0,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\铁路信号安全数据网.pdf,9513154,17,0,17,0,17,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路信号工程施工质量验收标准(附条文说明).pdf,17906985,349,0,349,0,349,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路信号电源系统设备 第1部分_通用要求.pdf,28417772,36,0,36,0,36,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路信号符号.pdf,17589791,45,0,45,0,45,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路后张法预应力混凝土梁管道压浆技术条件.pdf,924072,16,0,16,0,16,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路声屏障工程施工质量验收标准(附条文说明).pdf,2211840,73,0,73,0,1095,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路天然建筑材料工程地质勘察规程(附条文说明).pdf,1740891,70,70,70,39966,70,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\铁路安全管理条例_20130817.pdf,415312,31,31,0,13828,0,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程制图标准.pdf,8728753,207,0,207,0,397,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程卫星定位测量规范(附条文说明).pdf,4462552,88,85,88,50457,88,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程地质原位测试规程(附条文说明).pdf,57898497,303,0,303,0,437,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程地质钻探规程(附条文说明).pdf,11159959,169,0,166,1244,170,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程基本术语标准.pdf,8115758,238,0,238,0,238,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程环境保护设计规范(附条文说明).pdf,2721394,43,0,43,0,43,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路房屋建筑设计标准(附条文说明).pdf,3147608,72,0,72,0,72,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路数字移动通信系统(GSM-R)设计规范(附条文说明).pdf,3631695,82,0,82,0,82,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路旅客车站建筑设计规范(2011年版).pdf,1512557,84,84,83,46329,83,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\铁路旅客车站设计规范（附条文说明））(附2022年局部修订).pdf,6145685,118,0,118,0,118,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路桥梁钢支座.pdf,24254883,27,0,27,0,27,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路桥梁钢结构设计规范(附条文说明).pdf,24882103,144,0,144,0,144,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路混凝土结构耐久性设计规范(附条文说明).pdf,7409119,44,44,44,52118,44,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\铁路照明设计规范(附条文说明).pdf,3909213,82,0,82,0,82,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路电力工程施工质量验收标准(附条文说明).pdf,7769250,195,0,195,0,195,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路电力设计规范(附条文说明).pdf,6580953,131,0,131,0,131,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路线路设计规范(附条文说明).pdf,21211760,420,0,420,0,420,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路路基支挡结构设计规范.pdf,15695778,136,0,136,0,136,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路路基病害分类.pdf,949875,12,0,12,0,12,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路轨道工程施工安全技术规程(附条文说明).pdf,62191091,130,0,130,0,130,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路轨道设计规范(附条文说明) (1).pdf,29239933,167,0,167,0,167,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路轨道设计规范(附条文说明).pdf,29239933,167,0,167,0,167,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路轨道设计规范（极限状态法）.pdf,6929681,296,295,118,189744,282,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\铁路通信设计规范(附条文说明).pdf,11266350,178,0,178,0,178,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路道岔转换设备 道岔外锁闭装置.pdf,11375068,16,0,16,0,16,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路防雷及接地工程技术规范(附条文说明).pdf,4097952,72,0,72,0,72,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路隧道设计规范(附条文说明).pdf,33580191,334,0,334,0,334,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\铁路隧道运营通风设计规范(附条文说明).pdf,1638270,70,1,69,192,69,False,,True,low_text_ratio_and_many_image_pages
D:\code\Github\SLAC-test\SLAC\data\zh\铁道客车及动车组空调装置运用试验方法.pdf,8028780,20,0,20,0,20,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\长沙市轨道交通条例_20221021.pdf,393053,27,27,0,13511,0,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路岔区轨枕埋入式无砟轨道混凝土岔枕.pdf,419993,11,11,11,7822,11,False,,False,
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路工程测量规范(附条文说明).pdf,5552234,81,0,81,0,81,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路无砟轨道不平顺谱.pdf,391836,16,0,16,0,16,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路桥涵工程施工质量验收标准(附条文说明).pdf,33973212,215,0,215,0,215,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路电力工程施工质量验收标准(附条文说明).pdf,28703497,188,0,188,0,188,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路箱梁运梁车.pdf,661749,13,0,13,0,429,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路设计规范.pdf,15420387,263,0,263,0,263,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路路基工程施工质量验收标准(附条文说明).pdf,61209704,316,0,316,0,316,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路轨道工程施工质量验收标准(附条文说明).pdf,32031323,192,0,192,0,192,False,,True,no_text_pages_but_has_images
D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路隧道工程施工质量验收标准(附条文说明).pdf,17807222,118,0,118,0,118,False,,True,no_text_pages_but_has_images
